date,code,volume,pctChg,close
2019-03-08,sz.000703,18141999,-6.476867,13.1400
2019-03-11,sz.000703,12984923,2.511415,13.4700
2019-03-12,sz.000703,13824592,1.559020,13.6800
2019-03-13,sz.000703,12078204,0.000000,13.6800
2019-03-14,sz.000703,7818656,-2.119883,13.3900
2019-03-15,sz.000703,14102219,0.672137,13.4800
2019-03-18,sz.000703,73981979,9.643919,14.7800
2019-03-19,sz.000703,37706200,-0.811907,14.6600
2019-03-20,sz.000703,26608261,-3.342427,14.1700
2019-03-21,sz.000703,20893556,-0.352859,14.1200
2019-03-22,sz.000703,26867574,2.195470,14.4300
2019-03-25,sz.000703,42019070,2.078997,14.7300
2019-03-26,sz.000703,23980175,-0.746773,14.6200
2019-03-27,sz.000703,18268601,2.257181,14.9500
2019-03-28,sz.000703,17841068,-0.133776,14.9300
2019-03-29,sz.000703,30031292,2.679167,15.3300
2019-04-01,sz.000703,51540414,6.066538,16.2600
2019-04-02,sz.000703,31999451,1.783512,16.5500
2019-04-03,sz.000703,19388791,-0.664645,16.4400
2019-04-04,sz.000703,27243158,2.433088,16.8400
2019-04-08,sz.000703,47564700,3.681704,17.4600
2019-04-09,sz.000703,21204837,-2.405488,17.0400
2019-04-10,sz.000703,16201792,0.117362,17.0600
2019-04-11,sz.000703,26239789,-5.920283,16.0500
2019-04-12,sz.000703,10284597,0.373840,16.1100
2019-04-15,sz.000703,12223380,-1.427688,15.8800
2019-04-16,sz.000703,15563228,0.503778,15.9600
2019-04-17,sz.000703,13677981,2.005017,16.2800
2019-04-18,sz.000703,13506707,-1.535627,16.0300
2019-04-19,sz.000703,19984270,-2.370562,15.6500
2019-04-22,sz.000703,20968628,0.511182,15.7300
2019-04-23,sz.000703,14415730,-1.716462,15.4600
2019-04-24,sz.000703,22743604,-1.228975,15.2700
2019-04-25,sz.000703,12833604,-1.309763,15.0700
2019-04-26,sz.000703,14143277,-0.530856,14.9900
2019-04-29,sz.000703,14974873,2.068048,15.3000
2019-04-30,sz.000703,8195732,1.372549,15.5100
2019-05-06,sz.000703,20651669,-9.993554,13.9600
2019-05-07,sz.000703,13665997,-0.071635,13.9500
2019-05-08,sz.000703,8752573,-2.437277,13.6100
2019-05-09,sz.000703,10114505,-0.073470,13.6000
2019-05-10,sz.000703,15819525,2.205877,13.9000
2019-05-13,sz.000703,21914934,-3.453234,13.4200
2019-05-14,sz.000703,10570421,-1.192249,13.2600
2019-05-15,sz.000703,13350868,1.734537,13.4900
2019-05-16,sz.000703,9753656,-0.148254,13.4700
2019-05-17,sz.000703,9588590,-1.039349,13.3300
2019-05-20,sz.000703,8326352,-2.550639,12.9900
2019-05-21,sz.000703,7608104,0.076984,13.0000
2019-05-22,sz.000703,10957274,-0.923076,12.8800
2019-05-23,sz.000703,7186045,-1.009318,12.7500
2019-05-24,sz.000703,5507572,0.392158,12.8000
2019-05-27,sz.000703,6019757,1.484372,12.9900
2019-05-28,sz.000703,14242277,4.311012,13.5500
2019-05-29,sz.000703,8584196,-1.402218,13.3600
2019-05-30,sz.000703,16095189,-0.074845,13.3500
2019-05-31,sz.000703,17521912,1.123593,13.5000
2019-06-03,sz.000703,16002938,-3.629628,13.0100
2019-06-04,sz.000703,5816715,-1.383554,12.8300
2019-06-05,sz.000703,4348397,0.389713,12.8800
2019-06-06,sz.000703,7780095,-2.950311,12.5000
2019-06-10,sz.000703,7222172,0.959999,12.6200
2019-06-11,sz.000703,7504105,3.490263,12.7500
2019-06-12,sz.000703,5221824,-0.392158,12.7000
2019-06-13,sz.000703,4635052,-0.787397,12.6000
2019-06-14,sz.000703,4580299,-1.111114,12.4600
